iter	Logloss
0	0.648516422
1	0.606158613
2	0.5707991015
3	0.5413090438
4	0.5168646607
5	0.4961907747
6	0.4792049714
7	0.4648099937
8	0.4533446579
9	0.4430903591
10	0.4324683742
11	0.4240783252
12	0.4157197587
13	0.4088807497
14	0.402759526
15	0.3970770624
16	0.3923745242
17	0.388276351
18	0.3843348134
19	0.3812927684
20	0.3785663022
21	0.3759130339
22	0.3720523873
23	0.3685886304
24	0.3666455751
25	0.3642542604
26	0.3615785304
27	0.3600260001
28	0.3580884156
29	0.3557834981
30	0.3543894664
31	0.3521646375
32	0.3512684876
33	0.349970542
34	0.3492073679
35	0.3486107118
36	0.3478461528
37	0.3471712289
38	0.3463214003
39	0.3446130376
40	0.3436960482
41	0.3422705914
42	0.3418429793
43	0.3411689475
44	0.3404499492
45	0.3395201083
46	0.3390459379
